model,method,level,comp_ratio,intermediate_budget,working_max,final_budget,ratio,ctx_len,true_len,prefill_status,prefill_peak_gb,answer_peak_gb,cache_gb,num_compactions,num_segments,peak_phys_ctx,acc
qwen3-1.7b,ours,per_token,,512,1024,1024,0.3,2000,1999,ok,3.742413824,3.583539712,0.1,2,1,1487,0.5
qwen3-1.7b,ours,per_token,,512,1024,1024,0.3,4000,3999,ok,3.815090688,3.581393408,0.1,5,3,2048,0.5
qwen3-1.7b,streamllm,per_token,,512,1024,1024,0.3,4000,3999,ok,3.718395392,3.58080768,0.1,5,3,2048,0.0
qwen3-1.7b,full,per_token,,512,1024,1024,0.3,4000,3999,ok,3.941011968,3.925512704,0.5,,,,1.0
qwen3-1.7b,ours,per_head,,512,1024,1024,0.3,4000,3999,ok,3.815090688,3.528354816,0.1,5,3,2048,0.5
qwen3-4b,ours,per_token,,4096,8192,8192,0.3,8000,7999,ok,14.369833472,9.330002944,1.2,0,0,7999,1.0
qwen3-4b,ours,per_token,,4096,8192,8192,0.3,16000,15999,ok,14.948867072,9.353461248,1.2,2,1,11903,1.0
qwen3-4b,ours,per_token,,4096,8192,8192,0.3,32000,31999,ok,15.635974656,9.33981184,1.2,5,3,16384,0.5
qwen3-4b,ours,per_token,,4096,8192,8192,0.3,64000,63999,ok,15.637082112,9.325849088,1.2,13,7,16384,0.0
qwen3-4b,ours,per_token,,4096,8192,8192,0.3,96000,95999,ok,15.637827584,9.312641536,1.2,21,11,16384,0.0
qwen3-4b,ours,per_token,,4096,8192,8192,0.3,120000,119999,ok,15.638019584,9.313457152,1.2,27,14,16384,0.0
qwen3-4b,kvzip,per_token,,2048,4096,8192,0.3,8000,7999,ok,10.669604352,8.472300544,0.4,,,,1.0
qwen3-4b,kvzip,per_token,,2048,4096,8192,0.3,16000,15999,ok,11.852610048,8.838780928,0.7,,,,1.0
qwen3-4b,kvzip,per_token,,2048,4096,8192,0.3,32000,31999,ok,14.222283264,9.58220032,1.4,,,,1.0
qwen3-4b,kvzip,per_token,,2048,4096,8192,0.3,64000,63999,ok,18.962442752,11.071159296,2.8,,,,1.0
qwen3-4b,kvzip,per_token,,2048,4096,8192,0.3,96000,95999,oom,22.85811456,,,,,,
llama3.2-3b,ours,per_token,,4096,8192,8192,0.3,8000,7999,ok,11.277234688,7.445232128,0.9,0,0,7999,1.0
llama3.2-3b,ours,per_token,,4096,8192,8192,0.3,16000,15999,ok,11.778915328,7.413302272,0.9,1,1,12287,1.0
llama3.2-3b,ours,per_token,,4096,8192,8192,0.3,32000,31999,ok,12.250955776,7.45018112,0.9,3,2,16378,0.0
llama3.2-3b,ours,per_token,,4096,8192,8192,0.3,64000,63999,ok,12.723056128,7.431442944,0.9,9,5,20479,0.0
llama3.2-3b,ours,per_token,,4096,8192,8192,0.3,96000,95999,ok,12.72364544,7.419309568,0.9,17,9,20479,0.0
llama3.2-3b,ours,per_token,,4096,8192,8192,0.3,120000,119999,ok,12.723767296,7.413001728,0.9,21,11,20479,0.0
llama3.2-3b,kvzip,per_token,,2048,4096,8192,0.3,8000,7999,ok,8.455285248,6.762035712,0.3,,,,0.0
llama3.2-3b,kvzip,per_token,,2048,4096,8192,0.3,16000,15999,ok,9.378290176,7.057531392,0.6,,,,0.0
llama3.2-3b,kvzip,per_token,,2048,4096,8192,0.3,32000,31999,ok,11.219101184,7.646917632,1.1,,,,0.0
llama3.2-3b,kvzip,per_token,,2048,4096,8192,0.3,64000,63999,ok,14.906808832,8.832627712,2.2,,,,0.0
llama3.2-3b,kvzip,per_token,,2048,4096,8192,0.3,96000,95999,oom,18.426978816,,,,,,
qwen3-1.7b,ours,per_token,0.4,410,1024,800,,2000,1999,ok,3.726928896,3.557400064,0.1,2,1,1385,0.5
qwen3-1.7b,ours,per_token,0.4,410,1024,1600,,4000,3999,ok,3.8158976,3.64804864,0.2,4,3,2157,1.0
qwen3-1.7b,kvzip,per_token,0.4,2048,4096,8192,0.4,2000,1999,ok,4.49530368,3.580504576,0.1,,,,1.0
qwen3-1.7b,kvzip,per_token,0.4,2048,4096,8192,0.4,4000,3999,ok,4.733676544,3.675920384,0.2,,,,1.0
qwen3-4b,ours,per_token,0.0,256,8192,256,,8000,7999,ok,14.37012224,8.166877696,0.0,1,0,7999,0.0
qwen3-4b,ours,per_token,0.0,256,8192,256,,16000,15999,ok,14.423969792,8.16084224,0.0,2,1,8192,0.0
qwen3-4b,ours,per_token,0.0,256,8192,256,,32000,31999,ok,14.463003648,8.151572992,0.0,6,3,8448,0.0
qwen3-4b,ours,per_token,0.0,256,8192,256,,64000,63999,ok,14.465916928,8.133919232,0.0,14,7,8448,0.0
qwen3-4b,ours,per_token,0.0,256,8192,256,,96000,95999,ok,15.067926528,8.12361984,0.0,22,11,12543,0.0
qwen3-4b,ours,per_token,0.0,256,8192,256,,120000,119999,ok,15.07048192,8.120412672,0.0,28,14,12543,0.0
qwen3-4b,kvzip,per_token,0.0,2048,4096,8192,0.0,8000,7999,ok,10.669604352,8.090685952,0.0,,,,0.0
qwen3-4b,kvzip,per_token,0.0,2048,4096,8192,0.0,16000,15999,ok,11.852610048,8.098045952,0.0,,,,0.0
qwen3-4b,kvzip,per_token,0.0,2048,4096,8192,0.0,32000,31999,ok,14.222283264,8.111576064,0.0,,,,0.0
qwen3-4b,kvzip,per_token,0.0,2048,4096,8192,0.0,64000,63999,ok,18.962442752,8.139550208,0.0,,,,0.0
qwen3-4b,kvzip,per_token,0.0,2048,4096,8192,0.0,96000,95999,oom,22.85811456,,,,,,
qwen3-4b,ours,per_token,0.2,1600,8192,1600,,8000,7999,ok,14.37012224,8.370234368,0.2,1,0,7999,0.5
qwen3-4b,ours,per_token,0.2,1638,8192,3200,,16000,15999,ok,14.583506944,8.604498944,0.5,2,1,9445,0.5
qwen3-4b,ours,per_token,0.2,1638,8192,6400,,32000,31999,ok,15.01146624,9.073025536,0.9,4,3,12337,0.5
qwen3-4b,ours,per_token,0.2,1638,8192,12800,,64000,63999,ok,15.879072256,10.02022144,1.9,8,7,18121,0.0
qwen3-4b,ours,per_token,0.2,1638,8192,19200,,96000,95999,ok,16.848885248,10.969078272,2.8,12,11,24572,1.0
qwen3-4b,ours,per_token,0.2,1638,8192,24000,,120000,119999,ok,17.576143872,11.680344064,3.5,15,14,29486,0.5
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,8000,7999,ok,10.669604352,8.346929152,0.2,,,,1.0
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,16000,15999,ok,11.852610048,8.6008192,0.5,,,,1.0
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,32000,31999,ok,14.222283264,9.103309824,0.9,,,,1.0
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,64000,63999,ok,18.962442752,10.108518912,1.9,,,,1.0
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,96000,95999,oom,22.85811456,,,,,,
qwen3-4b,ours,per_token,0.4,3200,8192,3200,,8000,7999,ok,14.37012224,8.608495616,0.5,1,0,7999,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,6400,,16000,15999,ok,14.823778304,9.083694592,0.9,2,1,11084,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,12800,,32000,31999,ok,15.739579392,10.035532288,1.9,4,3,17254,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,25600,,64000,63999,ok,17.563457536,11.93961728,3.8,8,7,29594,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,38400,,96000,95999,ok,19.391024128,13.853037056,5.7,12,11,41934,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,48000,,120000,119999,oom,20.729906688,,,,,,
qwen3-4b,kvzip,per_token,0.4,2048,4096,8192,0.4,8000,7999,ok,10.669604352,8.590715392,0.5,,,,1.0
qwen3-4b,kvzip,per_token,0.4,2048,4096,8192,0.4,16000,15999,ok,11.852610048,9.077045248,0.9,,,,1.0
