model,method,base_method,ctx_len,true_len,depth,needle_quantile,comp_ratio,level,use_predict_prompt,predict_prompt_version,predict_target,head_ratio_eff,final_budget,intermediate_budget,working_max,num_segments,prefill_status,prefill_peak_gb,cache_gb,acc
llama3.2-3b,kvzip,kvzip,500,498,0,0.0,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,10,0.1,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,20,0.2,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,30,0.3,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,40,0.4,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,50,0.5,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,60,0.6,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,70,0.7,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,80,0.8,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,90,0.9,0.0,per_head,False,1,self,0.0,,,,,ok,6.652502016,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,499,100,1.0,0.0,per_head,False,1,self,0.0,,,,,ok,6.653018624,0.0,0.0
llama3.2-3b,kvzip,kvzip,500,498,0,0.0,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,10,0.1,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,20,0.2,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,30,0.3,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,40,0.4,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,50,0.5,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,60,0.6,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,70,0.7,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,80,0.8,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,90,0.9,0.2,per_head,False,1,self,0.2,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,499,100,1.0,0.2,per_head,False,1,self,0.2,,,,,ok,6.653018624,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,0,0.0,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,10,0.1,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,20,0.2,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,30,0.3,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,40,0.4,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,50,0.5,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,60,0.6,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,70,0.7,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,80,0.8,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,90,0.9,0.4,per_head,False,1,self,0.4,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,499,100,1.0,0.4,per_head,False,1,self,0.4,,,,,ok,6.653018624,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,0,0.0,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,10,0.1,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,20,0.2,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,30,0.3,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,40,0.4,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,50,0.5,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,60,0.6,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,70,0.7,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,80,0.8,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,90,0.9,0.6,per_head,False,1,self,0.6,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,499,100,1.0,0.6,per_head,False,1,self,0.6,,,,,ok,6.653018624,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,0,0.0,0.8,per_head,False,1,self,0.8,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,10,0.1,0.8,per_head,False,1,self,0.8,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,20,0.2,0.8,per_head,False,1,self,0.8,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,30,0.3,0.8,per_head,False,1,self,0.8,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,40,0.4,0.8,per_head,False,1,self,0.8,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,50,0.5,0.8,per_head,False,1,self,0.8,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,60,0.6,0.8,per_head,False,1,self,0.8,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,70,0.7,0.8,per_head,False,1,self,0.8,,,,,ok,6.652502016,0.0,1.0
llama3.2-3b,kvzip,kvzip,500,498,80,0.8,0.8,per_head,False,1,self,0.8,,,,,ok,6.652502016,0.0,1.0
